Student_ID,Gender,Age,Study_Hours,Attendance,Internal_Marks,Assignment_Score,Previous_Grade,Internet_Access,Final_Score,Result
115,Male,19,9,88,61,99,C,Yes,109,Pass
116,Female,22,6,62,90,92,D,No,94,Pass
117,Female,17,4.3,59,96,98,D,Yes,87,Pass
118,Female,18,1.3,78,70,79,D,Yes,66,Pass
119,Female,17,1.8,100,60,97,A,Yes,76,Pass
120,Female,21,1.1,84,63,52,D,No,59,Pass
121,Female,22,7.6,81,80,73,D,Yes,100,Pass
122,Male,17,4.2,60,88,89,C,Yes,83,Pass
123,Female,19,4.4,84,71,43,B,No,77,Pass
124,Male,19,8.2,85,78,65,D,Yes,102,Pass
125,Male,18,2.8,62,73,62,D,No,66,Pass
126,Male,22,2.9,96,85,59,D,No,80,Pass
127,Male,17,2.1,86,75,41,B,Yes,67,Pass
128,Female,17,9.1,69,67,87,B,Yes,103,Pass
129,Female,23,8.2,61,64,54,A,No,89,Pass
130,Male,18,8.6,85,45,42,C,No,90,Pass
131,Male,23,1.5,77,99,74,A,Yes,75,Pass
132,Male,23,2.8,85,76,93,A,No,80,Pass
133,Male,22,6.7,81,74,56,C,Yes,91,Pass
134,Female,19,3.1,72,45,94,C,Yes,69,Pass
135,Male,22,9.1,80,48,46,A,No,93,Pass
136,Male,18,8.2,58,56,48,C,Yes,84,Pass
137,Female,21,1.8,93,70,81,B,No,74,Pass
138,Female,22,3.3,78,49,66,B,Yes,67,Pass
139,Male,22,1.5,78,54,93,A,No,65,Pass
140,Female,23,1.7,68,52,64,C,No,57,Pass
141,Female,23,6.6,99,65,69,A,Yes,96,Pass
142,Female,17,5.7,73,83,99,C,Yes,95,Pass
143,Female,21,9.8,67,40,89,B,Yes,98,Pass
144,Female,23,8.9,57,74,49,B,Yes,93,Pass
145,Male,22,5.9,74,64,49,D,No,80,Pass
146,Female,20,9.6,69,88,57,C,Yes,106,Pass
147,Female,22,9.6,98,48,50,B,Yes,101,Pass
148,Male,21,4.6,69,66,45,D,No,72,Pass
149,Female,19,6.7,97,96,99,C,Yes,111,Pass
150,Female,23,9.9,95,49,87,D,Yes,110,Pass
151,Male,20,7.6,82,99,40,D,No,100,Pass
152,Male,22,9.5,63,84,76,B,Yes,106,Pass
153,Female,23,6.1,87,45,53,C,No,80,Pass
154,Male,23,9,65,55,72,C,Yes,95,Pass
155,Female,20,5.5,95,55,48,C,Yes,82,Pass
156,Female,18,9.1,68,77,94,B,Yes,107,Pass
157,Female,23,6.8,91,66,92,A,Yes,99,Pass
158,Male,19,6.7,63,95,45,A,Yes,89,Pass
159,Female,21,6.9,93,82,61,C,Yes,99,Pass
160,Male,17,3.9,58,47,44,B,No,59,Pass
161,Male,22,6.6,63,54,49,B,Yes,77,Pass
162,Male,23,3.4,81,54,68,D,Yes,71,Pass
163,Male,17,5.9,96,80,86,C,Yes,99,Pass
164,Female,17,8.5,93,42,94,B,Yes,101,Pass
165,Male,17,1.5,97,67,95,B,No,75,Pass
166,Male,22,8.5,68,92,46,D,No,99,Pass
167,Female,18,4.9,66,60,91,C,No,80,Pass
168,Female,22,7.8,72,75,81,D,Yes,99,Pass
169,Male,20,8.7,76,91,59,D,Yes,105,Pass
170,Male,23,4.3,100,40,86,C,No,80,Pass
171,Male,22,6.8,93,61,56,C,No,91,Pass
172,Female,23,6.8,57,69,90,B,No,89,Pass
173,Female,22,9.3,85,73,93,C,No,112,Pass
174,Male,21,5.8,98,86,95,B,Yes,103,Pass
175,Male,21,4.5,72,79,72,D,No,82,Pass
176,Female,19,9.3,98,52,62,C,No,103,Pass
177,Male,19,8.5,99,88,66,D,No,111,Pass
178,Male,17,2.9,80,79,82,C,No,78,Pass
179,Male,18,3.7,88,59,98,A,Yes,82,Pass
180,Male,23,1.1,55,78,50,A,No,55,Pass
181,Female,18,3.3,55,76,55,A,Yes,66,Pass
182,Male,19,7.5,93,97,44,C,Yes,103,Pass
183,Male,20,2.5,56,93,94,C,No,76,Pass
184,Male,19,5.8,50,78,43,D,Yes,76,Pass
185,Male,23,6.5,98,72,81,D,No,99,Pass
186,Female,19,7,76,43,75,A,No,85,Pass
187,Male,18,9.4,98,70,74,B,No,112,Pass
188,Male,17,4.2,98,41,57,C,Yes,74,Pass
189,Female,20,2.7,79,50,80,A,Yes,68,Pass
190,Female,21,3.8,89,89,49,C,No,82,Pass
191,Male,21,4,56,41,66,A,No,62,Pass
192,Male,23,5.3,60,64,55,A,No,74,Pass
193,Female,17,3.5,69,95,72,C,No,81,Pass
194,Female,23,9,53,78,73,D,Yes,98,Pass
195,Male,22,8.6,95,50,79,D,No,102,Pass
196,Female,23,2.4,91,48,67,C,No,67,Pass
197,Female,18,5.7,99,59,65,B,No,88,Pass
198,Female,20,8.7,65,50,69,C,Yes,91,Pass
199,Male,20,4,61,85,42,C,No,72,Pass
200,Female,19,7.9,80,97,97,D,No,112,Pass
201,Female,20,4.3,95,93,90,B,No,95,Pass
202,Female,22,1.2,96,97,72,A,Yes,78,Pass
203,Female,18,1.5,73,97,73,B,No,73,Pass
204,Female,23,6.7,85,70,75,A,No,95,Pass
205,Female,22,5.4,54,75,55,D,No,76,Pass
206,Male,18,7.6,96,100,56,A,No,108,Pass
207,Female,17,4.1,96,77,72,D,No,86,Pass
208,Male,20,5.6,93,54,91,A,Yes,90,Pass
209,Female,23,6.2,62,81,58,B,Yes,85,Pass
210,Female,22,6.6,52,48,60,A,No,75,Pass
211,Female,18,8.8,95,85,46,D,No,107,Pass
212,Male,19,2.1,66,95,71,A,No,73,Pass
213,Female,19,6.9,58,43,42,D,Yes,73,Pass
214,Male,18,4.1,57,64,98,B,Yes,76,Pass
215,Male,20,8.1,66,61,72,A,Yes,93,Pass
216,Male,23,8.3,98,40,92,D,No,101,Pass
217,Female,18,7.2,78,62,64,B,Yes,90,Pass
218,Female,17,7.7,92,70,41,B,Yes,95,Pass
219,Male,23,3.1,68,55,66,B,No,65,Pass
220,Male,22,4.4,50,47,47,C,No,60,Pass
221,Female,22,2.4,94,48,56,C,Yes,65,Pass
222,Female,20,5.8,71,85,98,A,Yes,95,Pass
223,Female,17,10,62,51,43,C,Yes,92,Pass
224,Female,22,4.4,66,79,45,A,No,74,Pass
225,Female,20,1.5,78,48,78,C,No,60,Pass
226,Female,19,2.4,84,71,62,B,No,70,Pass
227,Female,20,8.4,99,89,89,A,Yes,116,Pass
228,Male,22,2.2,65,96,59,C,No,71,Pass
229,Female,18,6.2,78,98,68,C,Yes,97,Pass
230,Male,18,1.9,68,82,86,A,No,71,Pass
231,Female,17,3.2,87,68,94,C,No,81,Pass
232,Male,22,8.1,73,59,43,C,Yes,88,Pass
233,Female,23,1.5,80,61,74,B,Yes,64,Pass
234,Female,19,8.8,52,66,51,C,No,89,Pass
235,Female,22,8.3,59,81,52,B,No,93,Pass
236,Male,22,4.6,77,76,69,C,No,82,Pass
237,Female,22,9.3,89,70,74,A,No,109,Pass
238,Male,17,7.8,78,97,90,C,No,109,Pass
239,Male,21,5.5,51,49,90,D,Yes,75,Pass
240,Male,21,2.8,56,100,50,B,Yes,70,Pass
241,Female,18,6.3,78,51,49,A,No,80,Pass
242,Male,21,7.1,68,59,71,B,No,87,Pass
243,Male,17,5.8,93,50,78,A,Yes,87,Pass
244,Female,22,6.2,55,53,60,A,Yes,75,Pass
245,Male,20,1.2,93,95,95,C,No,81,Pass
246,Male,17,3.2,92,89,78,C,No,85,Pass
247,Female,23,1,80,84,93,A,Yes,72,Pass
248,Female,19,8,90,85,92,D,No,110,Pass
249,Female,21,6.1,75,46,91,A,No,85,Pass
250,Male,22,9.8,94,68,50,B,Yes,107,Pass
251,Female,21,3.4,84,58,47,D,No,69,Pass
252,Male,17,8.3,76,59,50,A,No,92,Pass
253,Female,23,3.8,50,45,46,D,No,56,Pass
254,Male,18,2.2,99,100,77,A,Yes,86,Pass
255,Female,21,8.8,54,52,85,D,Yes,92,Pass
256,Female,20,6.2,83,79,95,C,Yes,98,Pass
257,Male,17,8.1,55,100,52,B,No,97,Pass
258,Male,17,8.2,52,42,54,C,No,80,Pass
259,Male,23,2.9,52,86,41,D,No,64,Pass
260,Female,17,8.6,88,61,45,D,No,96,Pass
261,Male,18,5.4,60,59,72,C,No,77,Pass
262,Female,23,9.2,75,93,46,C,No,105,Pass
263,Female,22,8.9,55,41,75,C,No,88,Pass
264,Male,17,5.6,68,44,66,B,Yes,74,Pass
265,Female,23,2.3,83,57,44,D,Yes,62,Pass
266,Female,20,3.6,91,93,61,D,No,85,Pass
267,Male,20,4.9,64,40,86,D,Yes,72,Pass
268,Male,22,5.9,93,75,94,B,Yes,98,Pass
269,Female,19,9.2,65,88,80,D,No,107,Pass
270,Male,19,9.3,94,51,55,C,Yes,101,Pass
271,Male,17,1.5,55,82,68,A,Yes,62,Pass
272,Female,19,3.3,97,80,62,A,No,82,Pass
273,Male,23,3.8,51,92,81,B,Yes,78,Pass
274,Male,23,2.1,73,83,98,C,Yes,76,Pass
275,Male,17,5.4,61,42,93,A,Yes,76,Pass
276,Male,22,9.7,100,91,82,B,No,122,Pass
277,Male,23,4.8,60,60,44,A,No,68,Pass
278,Female,20,9.1,72,58,51,A,Yes,94,Pass
279,Female,19,6.1,59,77,41,C,No,79,Pass
280,Male,18,8.8,68,61,99,B,No,102,Pass
281,Male,17,1.1,72,90,89,D,No,71,Pass
282,Male,19,3.9,72,71,84,C,No,79,Pass
283,Male,21,6.8,68,86,90,B,No,98,Pass
284,Female,19,9.2,84,65,56,C,Yes,101,Pass
285,Female,21,2,71,56,86,A,No,65,Pass
286,Male,23,6.8,99,94,55,B,No,102,Pass
287,Male,21,6.6,65,59,95,C,No,89,Pass
288,Female,20,3.5,54,86,60,A,No,71,Pass
289,Male,19,4.5,85,65,57,B,No,78,Pass
290,Female,20,5,76,66,40,A,No,75,Pass
291,Female,20,6.2,70,87,53,A,Yes,88,Pass
292,Male,21,5,72,83,56,B,No,82,Pass
293,Male,19,8.1,89,55,44,B,No,92,Pass
294,Male,17,1.5,88,42,76,D,Yes,61,Pass
295,Male,17,7.7,79,61,87,D,Yes,97,Pass
296,Female,21,3.1,85,88,87,C,No,84,Pass
297,Female,20,3.1,70,40,96,C,No,67,Pass
298,Female,19,3.1,91,87,64,C,Yes,81,Pass
299,Male,20,1.9,54,74,43,C,Yes,56,Pass
300,Female,20,5.3,70,85,95,C,Yes,92,Pass
301,Male,21,10,69,58,98,D,No,107,Pass
302,Female,20,6.4,67,64,60,B,No,83,Pass
303,Male,23,5.2,51,73,83,A,Yes,79,Pass
304,Male,20,1.3,66,62,92,A,No,63,Pass
305,Female,22,9.9,82,77,47,A,No,106,Pass
306,Male,19,3.1,88,42,40,D,No,62,Pass
307,Male,17,1.8,97,48,59,D,No,64,Pass
308,Male,22,4.4,66,69,72,A,Yes,76,Pass
309,Male,21,2.3,95,74,45,C,Yes,71,Pass
310,Female,20,1.2,95,77,78,A,No,73,Pass
311,Male,21,5,68,84,66,D,Yes,83,Pass
312,Female,20,2.6,98,45,93,D,No,74,Pass
313,Male,23,2.4,70,58,62,B,Yes,62,Pass
314,Male,22,9.7,52,77,68,D,Yes,100,Pass
315,Female,18,8.8,98,51,76,D,No,103,Pass
316,Male,19,4.1,66,45,71,D,Yes,68,Pass
317,Male,17,2.2,100,87,84,B,No,83,Pass
318,Female,17,2.8,75,72,77,B,No,73,Pass
319,Female,20,4.8,68,88,83,D,Yes,87,Pass
320,Male,22,8,90,93,78,A,No,110,Pass
321,Female,23,5.5,65,68,87,B,No,84,Pass
322,Female,17,2,92,91,92,C,Yes,83,Pass
323,Female,22,1.9,79,76,92,C,No,74,Pass
324,Female,22,2,65,45,93,A,No,61,Pass
325,Female,22,2.8,68,63,100,D,No,73,Pass
326,Female,18,4,76,73,100,A,Yes,84,Pass
327,Male,19,9.6,85,46,59,C,No,99,Pass
328,Female,21,6.8,97,54,61,D,Yes,91,Pass
329,Female,17,7.1,84,64,43,D,Yes,88,Pass
330,Female,17,9.5,73,42,99,D,Yes,101,Pass
331,Female,20,4.9,56,99,70,C,No,85,Pass
332,Female,23,3.3,72,41,86,A,Yes,67,Pass
333,Male,18,2,92,77,54,C,No,71,Pass
334,Male,21,9.6,75,73,51,A,No,102,Pass
335,Female,17,3.9,71,67,54,B,Yes,71,Pass
336,Female,20,6.4,74,84,100,B,Yes,99,Pass
337,Male,19,5.3,56,73,44,D,No,73,Pass
338,Male,18,6,72,54,78,D,Yes,83,Pass
339,Male,21,3.5,84,75,91,D,Yes,83,Pass
340,Male,19,1.1,91,59,45,B,Yes,59,Pass
341,Female,18,8.5,79,94,61,C,No,106,Pass
342,Female,19,3.3,72,48,52,C,No,62,Pass
343,Female,17,3,55,53,60,A,Yes,59,Pass
344,Male,19,7.2,58,41,95,B,Yes,84,Pass
345,Female,23,7.4,86,87,97,A,No,108,Pass
346,Female,19,3.7,55,79,68,A,No,72,Pass
347,Female,19,7.3,57,46,46,D,Yes,76,Pass
348,Female,20,6.8,92,57,95,A,No,97,Pass
349,Male,21,5.5,76,52,81,D,Yes,82,Pass
350,Female,23,8,75,91,51,A,Yes,100,Pass
351,Female,17,3.7,63,44,99,A,No,70,Pass
352,Male,23,8.1,58,93,89,B,No,103,Pass
353,Female,21,3.7,53,44,43,D,No,56,Pass
354,Female,22,5.8,99,92,93,B,No,104,Pass
355,Female,19,2.6,89,92,54,B,Yes,78,Pass
356,Female,21,9.7,89,42,94,C,Yes,106,Pass
357,Male,22,6.2,70,56,70,C,No,82,Pass
358,Female,23,1.3,81,64,94,A,Yes,68,Pass
359,Female,19,4.4,52,61,53,D,Yes,66,Pass
360,Male,18,8.6,53,72,52,D,No,90,Pass
361,Female,17,3.3,52,53,51,C,Yes,58,Pass
362,Male,20,3.2,99,63,94,B,No,83,Pass
363,Female,18,9.5,59,61,43,A,No,92,Pass
364,Male,20,7.2,79,41,83,B,No,88,Pass
365,Female,20,3.2,85,73,43,B,No,72,Pass
366,Male,23,3,50,79,49,D,Yes,63,Pass
367,Female,19,8.3,56,78,98,C,No,101,Pass
368,Female,23,4.4,85,83,88,B,Yes,90,Pass
369,Female,19,3.4,57,43,96,C,No,66,Pass
370,Female,19,8.6,53,46,45,A,Yes,81,Pass
371,Male,23,7.6,87,72,62,C,No,98,Pass
372,Male,21,9.9,89,47,81,C,Yes,106,Pass
373,Male,22,4.9,65,82,41,C,Yes,76,Pass
374,Female,18,8.6,65,42,73,A,Yes,89,Pass
375,Female,18,7.6,88,77,42,D,Yes,95,Pass
376,Female,20,9.5,56,52,55,D,Yes,90,Pass
377,Female,23,4.1,66,59,85,A,Yes,75,Pass
378,Female,22,2.6,100,73,64,D,No,77,Pass
379,Male,22,2.4,93,40,67,C,No,65,Pass
380,Male,23,3.1,85,87,82,B,Yes,83,Pass
381,Female,22,2.4,80,69,89,B,No,74,Pass
382,Female,18,8.4,61,82,92,C,No,103,Pass
383,Female,19,3.2,62,49,91,D,Yes,67,Pass
384,Female,18,2,72,94,48,D,Yes,69,Pass
385,Female,18,9.6,52,46,83,D,Yes,94,Pass
386,Female,19,4.7,74,78,67,B,Yes,82,Pass
387,Female,21,1.2,73,73,46,B,No,59,Pass
388,Male,23,3.6,67,66,71,B,No,72,Pass
389,Female,21,8.2,99,69,71,B,Yes,105,Pass
390,Male,23,8.1,71,88,91,D,Yes,106,Pass
391,Male,22,6.2,67,64,56,C,Yes,81,Pass
392,Male,23,9.4,84,80,98,A,No,115,Pass
393,Female,23,2.2,92,56,50,D,No,65,Pass
394,Male,19,1.9,61,80,80,A,Yes,67,Pass
395,Female,21,1.5,57,63,62,B,Yes,55,Pass
396,Female,22,7.6,67,58,100,C,Yes,95,Pass
397,Female,22,6.6,100,86,61,C,No,101,Pass
398,Male,19,1.6,95,74,50,B,No,68,Pass
399,Female,17,7.7,77,42,53,D,No,84,Pass
400,Male,17,7.5,85,74,62,C,No,97,Pass
401,Male,21,1.4,83,65,80,C,No,67,Pass
402,Male,18,9.4,76,82,45,A,No,103,Pass
403,Female,17,7.7,97,70,73,B,Yes,103,Pass
404,Male,19,8.4,52,79,80,C,No,97,Pass
405,Male,17,3.9,56,60,52,D,Yes,64,Pass
406,Male,21,8.8,59,86,80,C,Yes,103,Pass
407,Female,17,7.3,85,50,89,D,No,94,Pass
408,Male,22,7.6,95,80,57,D,Yes,101,Pass
409,Female,21,3.3,97,70,65,C,No,79,Pass
410,Female,18,2.2,54,67,44,A,Yes,56,Pass
411,Female,19,7.1,65,95,80,A,Yes,99,Pass
412,Male,23,9.4,78,43,52,D,No,93,Pass
413,Male,22,7.4,72,70,66,D,Yes,92,Pass
414,Male,17,4.3,97,44,68,C,Yes,77,Pass
415,Female,22,1.6,82,79,87,A,No,73,Pass
416,Male,19,9.8,76,67,74,A,No,106,Pass
417,Male,19,8.7,85,47,88,B,No,100,Pass
418,Female,20,5.9,54,94,89,D,Yes,91,Pass
419,Male,17,6.3,85,86,80,B,Yes,98,Pass
420,Male,19,2,51,51,69,D,Yes,54,Pass
421,Male,23,3,88,80,62,D,Yes,77,Pass
422,Male,18,9.6,89,56,51,B,Yes,101,Pass
423,Female,21,6.8,74,90,85,D,Yes,100,Pass
424,Male,19,9,68,84,59,A,Yes,102,Pass
425,Male,21,2.4,58,88,94,C,No,74,Pass
426,Female,22,3.4,75,87,94,B,Yes,84,Pass
427,Male,18,4.8,99,68,48,A,No,83,Pass
428,Female,18,8.9,67,48,71,A,No,93,Pass
429,Female,22,6.5,59,40,89,C,Yes,80,Pass
430,Male,18,4.7,58,99,77,C,No,86,Pass
431,Male,19,2.2,60,78,87,D,Yes,69,Pass
432,Male,19,7.6,52,42,79,B,Yes,82,Pass
433,Male,22,2.5,54,49,83,B,Yes,60,Pass
434,Female,20,4.8,54,70,50,C,Yes,71,Pass
435,Male,18,7.2,71,55,58,D,Yes,85,Pass
436,Male,19,2.6,90,71,78,A,No,76,Pass
437,Male,22,9.3,66,69,68,D,Yes,100,Pass
438,Female,18,8.3,78,48,58,B,No,90,Pass
439,Female,21,7.1,61,78,69,D,No,90,Pass
440,Male,17,1.7,62,70,44,A,Yes,56,Pass
441,Female,19,3.3,83,98,49,A,No,80,Pass
442,Male,20,5.1,54,82,44,B,Yes,75,Pass
443,Male,17,6.4,97,100,88,D,No,108,Pass
444,Male,22,2.4,96,54,88,C,No,74,Pass
445,Female,18,8.2,73,47,77,A,Yes,92,Pass
446,Female,20,4.9,52,64,82,A,No,75,Pass
447,Female,17,9.7,57,99,43,C,No,103,Pass
448,Female,23,9.4,51,82,45,D,Yes,95,Pass
449,Male,22,7.8,87,66,72,C,Yes,99,Pass
450,Female,19,2.5,50,97,56,B,No,67,Pass
451,Male,23,2.3,58,66,41,B,Yes,56,Pass
452,Male,20,8.9,77,99,51,A,No,107,Pass
453,Male,18,4.4,55,83,81,A,Yes,79,Pass
454,Female,18,3.2,50,65,61,B,No,62,Pass
455,Male,19,2.5,61,80,80,D,Yes,70,Pass
456,Male,23,1.5,63,74,83,C,No,65,Pass
457,Male,20,4.2,52,81,61,B,No,73,Pass
458,Female,18,7.8,85,92,92,D,Yes,110,Pass
459,Female,20,6.6,60,49,84,A,Yes,82,Pass
460,Male,19,8,72,88,44,D,Yes,96,Pass
461,Male,22,5.7,69,58,64,A,Yes,79,Pass
462,Female,17,5.1,85,62,99,C,Yes,89,Pass
463,Female,22,4.3,80,89,63,C,Yes,84,Pass
464,Male,17,7.1,57,75,99,A,No,94,Pass
465,Female,19,8.4,75,81,70,C,No,102,Pass
466,Male,21,8.8,69,40,88,D,No,94,Pass
467,Male,21,3.7,99,71,43,D,Yes,78,Pass
468,Male,21,8,75,68,40,D,Yes,90,Pass
469,Female,19,4.8,75,48,100,D,Yes,80,Pass
470,Male,20,4.1,56,44,49,B,No,60,Pass
471,Female,20,5.7,96,87,51,C,No,93,Pass
472,Female,23,5.8,99,61,70,A,Yes,91,Pass
473,Female,20,2.8,97,77,98,C,Yes,85,Pass
474,Male,17,1.4,67,84,48,A,Yes,61,Pass
475,Male,19,7.1,98,71,63,A,Yes,98,Pass
476,Male,23,2.1,59,45,82,D,Yes,58,Pass
477,Male,22,3.2,96,90,70,C,Yes,85,Pass
478,Male,21,6.3,88,95,44,B,Yes,95,Pass
479,Male,17,9.1,79,78,98,C,No,112,Pass
480,Male,22,8.3,76,100,88,C,Yes,111,Pass
481,Female,20,5.7,60,59,61,B,Yes,76,Pass
482,Female,23,1.9,60,84,79,D,Yes,68,Pass
483,Male,23,6,61,69,66,A,Yes,82,Pass
484,Female,17,6.2,57,79,74,B,Yes,86,Pass
485,Male,17,9.4,56,66,89,B,No,101,Pass
486,Female,20,1.1,66,41,92,C,No,56,Pass
487,Female,23,6.5,57,63,79,A,Yes,84,Pass
488,Male,20,7.5,57,44,54,B,No,78,Pass
489,Male,20,10,85,60,86,A,Yes,110,Pass
490,Female,19,4.8,85,57,63,B,Yes,79,Pass
491,Male,19,8.8,97,99,80,C,Yes,118,Pass
492,Female,20,4.4,57,83,73,D,No,78,Pass
493,Male,20,1.7,60,71,89,B,No,65,Pass
494,Male,19,4.8,82,74,96,C,No,90,Pass
495,Male,21,3.3,92,84,69,A,No,83,Pass
496,Male,21,1.5,97,79,50,D,No,70,Pass
497,Female,19,6,63,96,66,D,No,90,Pass
498,Male,20,6.9,93,48,93,B,No,95,Pass
